datetime,Article Count,All Articles,keyword
2019-09-25 00:00:00+00:00,282,539615,Green Deal
2019-09-26 00:00:00+00:00,233,533764,Green Deal
2019-09-27 00:00:00+00:00,174,509849,Green Deal
2019-09-28 00:00:00+00:00,94,308315,Green Deal
2019-09-29 00:00:00+00:00,74,287903,Green Deal
2019-09-30 00:00:00+00:00,112,437102,Green Deal
2019-10-01 00:00:00+00:00,121,514340,Green Deal
2019-10-02 00:00:00+00:00,191,505415,Green Deal
2019-10-03 00:00:00+00:00,132,503247,Green Deal
2019-10-04 00:00:00+00:00,198,487461,Green Deal
2019-10-05 00:00:00+00:00,71,302322,Green Deal
2019-10-06 00:00:00+00:00,53,272004,Green Deal
2019-10-07 00:00:00+00:00,114,462075,Green Deal
2019-10-08 00:00:00+00:00,258,503665,Green Deal
2019-10-09 00:00:00+00:00,182,512282,Green Deal
2019-10-10 00:00:00+00:00,145,522103,Green Deal
2019-10-11 00:00:00+00:00,290,496822,Green Deal
2019-10-12 00:00:00+00:00,100,308536,Green Deal
2019-10-13 00:00:00+00:00,74,276043,Green Deal
2019-10-14 00:00:00+00:00,207,457892,Green Deal
2019-10-15 00:00:00+00:00,161,512878,Green Deal
2019-10-16 00:00:00+00:00,357,534395,Green Deal
2019-10-17 00:00:00+00:00,141,523905,Green Deal
2019-10-18 00:00:00+00:00,128,500159,Green Deal
2019-10-19 00:00:00+00:00,177,299066,Green Deal
2019-10-20 00:00:00+00:00,235,268642,Green Deal
2019-10-21 00:00:00+00:00,99,477898,Green Deal
2019-10-22 00:00:00+00:00,170,513629,Green Deal
2019-10-23 00:00:00+00:00,135,512089,Green Deal
2019-10-24 00:00:00+00:00,283,517482,Green Deal
2019-10-25 00:00:00+00:00,231,492241,Green Deal
2019-10-26 00:00:00+00:00,142,298603,Green Deal
2019-10-27 00:00:00+00:00,159,274414,Green Deal
2019-10-28 00:00:00+00:00,182,457281,Green Deal
2019-10-29 00:00:00+00:00,265,505654,Green Deal
2019-10-30 00:00:00+00:00,429,524098,Green Deal
2019-10-31 00:00:00+00:00,177,512560,Green Deal
2019-11-01 00:00:00+00:00,126,459961,Green Deal
2019-11-02 00:00:00+00:00,238,295527,Green Deal
2019-11-03 00:00:00+00:00,162,273380,Green Deal
2019-11-04 00:00:00+00:00,181,463253,Green Deal
2019-11-05 00:00:00+00:00,211,522583,Green Deal
2019-11-06 00:00:00+00:00,199,549860,Green Deal
2019-11-07 00:00:00+00:00,273,545791,Green Deal
2019-11-08 00:00:00+00:00,201,528410,Green Deal
2019-11-09 00:00:00+00:00,102,316275,Green Deal
2019-11-10 00:00:00+00:00,83,295334,Green Deal
2019-11-11 00:00:00+00:00,189,465415,Green Deal
2019-11-12 00:00:00+00:00,155,517367,Green Deal
2019-11-13 00:00:00+00:00,195,511360,Green Deal
2019-11-14 00:00:00+00:00,238,528162,Green Deal
2019-11-15 00:00:00+00:00,168,480174,Green Deal
2019-11-16 00:00:00+00:00,227,311125,Green Deal
2019-11-17 00:00:00+00:00,219,289902,Green Deal
2019-11-18 00:00:00+00:00,126,482701,Green Deal
2019-11-19 00:00:00+00:00,380,520439,Green Deal
2019-11-20 00:00:00+00:00,119,528295,Green Deal
2019-11-21 00:00:00+00:00,573,523073,Green Deal
2019-11-22 00:00:00+00:00,168,497118,Green Deal
2019-11-23 00:00:00+00:00,50,322908,Green Deal
2019-11-24 00:00:00+00:00,505,297182,Green Deal
2019-11-25 00:00:00+00:00,274,494370,Green Deal
2019-11-26 00:00:00+00:00,173,524684,Green Deal
2019-11-27 00:00:00+00:00,529,511361,Green Deal
2019-11-28 00:00:00+00:00,245,478081,Green Deal
2019-11-29 00:00:00+00:00,142,451226,Green Deal
2019-11-30 00:00:00+00:00,219,304600,Green Deal
2019-12-01 00:00:00+00:00,265,294518,Green Deal
2019-12-02 00:00:00+00:00,247,449521,Green Deal
2019-12-03 00:00:00+00:00,237,525184,Green Deal
2019-12-04 00:00:00+00:00,358,533394,Green Deal
2019-12-05 00:00:00+00:00,230,530550,Green Deal
2019-12-06 00:00:00+00:00,353,500038,Green Deal
2019-12-07 00:00:00+00:00,132,311145,Green Deal
2019-12-08 00:00:00+00:00,135,284834,Green Deal
2019-12-09 00:00:00+00:00,357,478623,Green Deal
2019-12-10 00:00:00+00:00,540,522225,Green Deal
2019-12-11 00:00:00+00:00,955,519311,Green Deal
2019-12-12 00:00:00+00:00,897,508673,Green Deal
2019-12-13 00:00:00+00:00,645,497908,Green Deal
2019-12-14 00:00:00+00:00,249,303003,Green Deal
2019-12-15 00:00:00+00:00,252,268674,Green Deal
2019-12-16 00:00:00+00:00,337,469904,Green Deal
2019-12-17 00:00:00+00:00,232,511633,Green Deal
2019-12-18 00:00:00+00:00,178,517254,Green Deal
2019-12-19 00:00:00+00:00,159,502820,Green Deal
2019-12-20 00:00:00+00:00,230,486812,Green Deal
2019-12-21 00:00:00+00:00,115,304824,Green Deal
2019-12-22 00:00:00+00:00,90,277064,Green Deal
2019-12-23 00:00:00+00:00,185,426760,Green Deal
2019-12-24 00:00:00+00:00,204,389189,Green Deal
2019-12-25 00:00:00+00:00,44,275251,Green Deal
2019-12-26 00:00:00+00:00,98,348402,Green Deal
2019-12-27 00:00:00+00:00,186,395063,Green Deal
2019-12-28 00:00:00+00:00,74,273389,Green Deal
2019-12-29 00:00:00+00:00,82,249511,Green Deal
2019-12-30 00:00:00+00:00,106,383261,Green Deal
2019-12-31 00:00:00+00:00,127,361032,Green Deal
2020-01-01 00:00:00+00:00,110,262970,Green Deal
2020-01-02 00:00:00+00:00,160,389269,Green Deal
2020-01-03 00:00:00+00:00,127,415807,Green Deal
2020-01-04 00:00:00+00:00,187,289977,Green Deal
2020-01-05 00:00:00+00:00,195,271749,Green Deal
2020-01-06 00:00:00+00:00,182,431339,Green Deal
2020-01-07 00:00:00+00:00,216,474951,Green Deal
2020-01-08 00:00:00+00:00,144,492966,Green Deal
2020-01-09 00:00:00+00:00,156,504706,Green Deal
2020-01-10 00:00:00+00:00,182,484072,Green Deal
2020-01-11 00:00:00+00:00,122,311598,Green Deal
2020-01-12 00:00:00+00:00,115,263262,Green Deal
2020-01-13 00:00:00+00:00,165,456148,Green Deal
2020-01-14 00:00:00+00:00,656,488114,Green Deal
2020-01-15 00:00:00+00:00,538,496143,Green Deal
2020-01-16 00:00:00+00:00,321,501155,Green Deal
2020-01-17 00:00:00+00:00,659,471810,Green Deal
2020-01-18 00:00:00+00:00,348,292937,Green Deal
2020-01-19 00:00:00+00:00,103,271248,Green Deal
2020-01-20 00:00:00+00:00,217,434444,Green Deal
2020-01-21 00:00:00+00:00,191,480181,Green Deal
2020-01-22 00:00:00+00:00,211,497108,Green Deal
2020-01-23 00:00:00+00:00,204,483015,Green Deal
2020-01-24 00:00:00+00:00,208,443329,Green Deal
2020-01-25 00:00:00+00:00,265,292319,Green Deal
2020-01-26 00:00:00+00:00,194,261248,Green Deal
2020-01-27 00:00:00+00:00,157,430001,Green Deal
2020-01-28 00:00:00+00:00,183,455152,Green Deal
2020-01-29 00:00:00+00:00,209,456667,Green Deal
2020-01-30 00:00:00+00:00,182,481598,Green Deal
2020-01-31 00:00:00+00:00,324,459885,Green Deal
2020-02-01 00:00:00+00:00,271,289147,Green Deal
2020-02-02 00:00:00+00:00,223,273834,Green Deal
2020-02-03 00:00:00+00:00,232,447476,Green Deal
2020-02-04 00:00:00+00:00,224,499684,Green Deal
2020-02-05 00:00:00+00:00,203,511196,Green Deal
2020-02-06 00:00:00+00:00,234,491612,Green Deal
2020-02-07 00:00:00+00:00,237,474142,Green Deal
2020-02-08 00:00:00+00:00,99,298624,Green Deal
2020-02-09 00:00:00+00:00,153,271405,Green Deal
2020-02-10 00:00:00+00:00,689,465754,Green Deal
2020-02-11 00:00:00+00:00,437,495183,Green Deal
2020-02-12 00:00:00+00:00,302,511160,Green Deal
2020-02-13 00:00:00+00:00,381,507117,Green Deal
2020-02-14 00:00:00+00:00,280,472746,Green Deal
2020-02-15 00:00:00+00:00,105,295457,Green Deal
2020-02-16 00:00:00+00:00,71,261090,Green Deal
2020-02-17 00:00:00+00:00,196,417604,Green Deal
2020-02-18 00:00:00+00:00,224,470059,Green Deal
2020-02-19 00:00:00+00:00,354,497697,Green Deal
2020-02-20 00:00:00+00:00,312,502783,Green Deal
2020-02-21 00:00:00+00:00,377,473278,Green Deal
2020-02-22 00:00:00+00:00,203,295604,Green Deal
2020-02-23 00:00:00+00:00,148,268100,Green Deal
2020-02-24 00:00:00+00:00,251,441285,Green Deal
2020-02-25 00:00:00+00:00,374,490807,Green Deal
2020-02-26 00:00:00+00:00,320,501963,Green Deal
2020-02-27 00:00:00+00:00,591,503140,Green Deal
2020-02-28 00:00:00+00:00,178,474977,Green Deal
2020-02-29 00:00:00+00:00,156,298676,Green Deal
2020-03-01 00:00:00+00:00,112,270517,Green Deal
2020-03-02 00:00:00+00:00,306,458450,Green Deal
2020-03-03 00:00:00+00:00,329,495271,Green Deal
2020-03-04 00:00:00+00:00,582,511285,Green Deal
2020-03-05 00:00:00+00:00,733,506407,Green Deal
2020-03-06 00:00:00+00:00,262,478147,Green Deal
2020-03-07 00:00:00+00:00,115,300639,Green Deal
2020-03-08 00:00:00+00:00,118,276178,Green Deal
2020-03-09 00:00:00+00:00,288,452224,Green Deal
2020-03-10 00:00:00+00:00,556,491836,Green Deal
2020-03-11 00:00:00+00:00,413,512593,Green Deal
2020-03-12 00:00:00+00:00,134,538498,Green Deal
2020-03-13 00:00:00+00:00,119,502203,Green Deal
2020-03-14 00:00:00+00:00,54,314890,Green Deal
2020-03-15 00:00:00+00:00,54,303076,Green Deal
2020-03-16 00:00:00+00:00,160,494418,Green Deal
2020-03-17 00:00:00+00:00,131,528913,Green Deal
2020-03-18 00:00:00+00:00,182,542500,Green Deal
2020-03-19 00:00:00+00:00,143,535707,Green Deal
2020-03-20 00:00:00+00:00,86,518601,Green Deal
2020-03-21 00:00:00+00:00,29,329009,Green Deal
2020-03-22 00:00:00+00:00,87,302307,Green Deal
2020-03-23 00:00:00+00:00,257,496911,Green Deal
2020-03-24 00:00:00+00:00,386,528786,Green Deal
2020-03-25 00:00:00+00:00,246,527870,Green Deal
2020-03-26 00:00:00+00:00,205,533637,Green Deal
